cod_ibge,municipio,uf,caminho
5207105,Diorama,GO,GO/ATM_5207105_Diorama_GO.pdf
5208301,Divinópolis de Goiás,GO,GO/ATM_5208301_Divinopolis_de_Goias_GO.pdf
5207253,Doverlândia,GO,GO/ATM_5207253_Doverlandia_GO.pdf
5207352,Edealina,GO,GO/ATM_5207352_Edealina_GO.pdf
5207402,Edéia,GO,GO/ATM_5207402_Edeia_GO.pdf
5207501,Estrela do Norte,GO,GO/ATM_5207501_Estrela_do_Norte_GO.pdf
5207535,Faina,GO,GO/ATM_5207535_Faina_GO.pdf
5207600,Fazenda Nova,GO,GO/ATM_5207600_Fazenda_Nova_GO.pdf
5207808,Firminópolis,GO,GO/ATM_5207808_Firminopolis_GO.pdf
5207907,Flores de Goiás,GO,GO/ATM_5207907_Flores_de_Goias_GO.pdf
5208004,Formosa,GO,GO/ATM_5208004_Formosa_GO.pdf
5208103,Formoso,GO,GO/ATM_5208103_Formoso_GO.pdf
5208152,Gameleira de Goiás,GO,GO/ATM_5208152_Gameleira_de_Goias_GO.pdf
5208509,Goiandira,GO,GO/ATM_5208509_Goiandira_GO.pdf
5208806,Goianira,GO,GO/ATM_5208806_Goianira_GO.pdf
5208400,Goianápolis,GO,GO/ATM_5208400_Goianapolis_GO.pdf
5208608,Goianésia,GO,GO/ATM_5208608_Goianesia_GO.pdf
5209101,Goiatuba,GO,GO/ATM_5209101_Goiatuba_GO.pdf
5208905,Goiás,GO,GO/ATM_5208905_Goias_GO.pdf
5208707,Goiânia,GO,GO/ATM_5208707_Goiania_GO.pdf
5209150,Gouvelândia,GO,GO/ATM_5209150_Gouvelandia_GO.pdf
5209200,Guapó,GO,GO/ATM_5209200_Guapo_GO.pdf
5209408,Guarani de Goiás,GO,GO/ATM_5209408_Guarani_de_Goias_GO.pdf
5209291,Guaraíta,GO,GO/ATM_5209291_Guaraita_GO.pdf
5209457,Guarinos,GO,GO/ATM_5209457_Guarinos_GO.pdf
5209606,Heitoraí,GO,GO/ATM_5209606_Heitorai_GO.pdf
5209804,Hidrolina,GO,GO/ATM_5209804_Hidrolina_GO.pdf
5209705,Hidrolândia,GO,GO/ATM_5209705_Hidrolandia_GO.pdf
5209903,Iaciara,GO,GO/ATM_5209903_Iaciara_GO.pdf
